cliente_id,tipo_cliente,cluster,riesgo_0_100,rating_estrellas,rating_label,por_que_rating,por_que_cluster,sector_dominante_modal,n_facturas_total,n_cortes_total
CLI0077,Clientes recurrentes de comportamiento general,0,80.29,1,1 estrella,mora reciente | mora historica | bajo cumplimiento historico | dias de mora observables,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,retail,19,109
CLI0105,Clientes recurrentes de comportamiento general,0,80.79,1,1 estrella,mora historica | mora reciente | bajo cumplimiento historico | dias de mora observables,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,retail,42,259
CLI0070,Clientes recurrentes de comportamiento general,0,81.1,1,1 estrella,mora historica | dias de mora observables | bajo cumplimiento historico | promesas rotas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,37,216
CLI0179,Clientes de alto riesgo operativo,2,81.31,1,1 estrella,mora reciente | moras consecutivas | dias de mora observables | mora historica,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,manufactura,11,71
CLI0197,Clientes recurrentes de comportamiento general,0,81.53,1,1 estrella,bajo cumplimiento historico | mora historica | mora reciente | promesas rotas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,transporte,32,152
CLI0044,Clientes recurrentes de comportamiento general,0,81.61,1,1 estrella,mora historica | dias de mora observables | mora reciente | friccion de contacto,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,agro,45,281
CLI0012,Clientes recurrentes de comportamiento general,0,81.64,1,1 estrella,bajo cumplimiento historico | mora reciente | mora historica | dias de mora observables,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,agro,17,104
CLI0183,Clientes recurrentes de comportamiento general,0,81.71,1,1 estrella,mora historica | mora reciente | bajo cumplimiento historico | dias de mora observables,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,agro,19,119
CLI0068,Clientes de alto riesgo operativo,2,82.07,1,1 estrella,dias de mora observables | bajo cumplimiento historico | moras consecutivas | promesas rotas,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,manufactura,11,75
CLI0113,Clientes de alto riesgo operativo,2,82.24,1,1 estrella,mora reciente | dias de mora observables | mora historica | moras consecutivas,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,manufactura,18,116
CLI0151,Clientes recurrentes de comportamiento general,0,83.01,1,1 estrella,bajo cumplimiento historico | mora reciente | mora historica | friccion de contacto,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,tecnologia,22,124
CLI0184,Clientes de alto riesgo operativo,2,83.15,1,1 estrella,mora reciente | moras consecutivas | bajo cumplimiento de promesas | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,manufactura,18,98
CLI0034,Clientes recurrentes de comportamiento general,0,85.27,1,1 estrella,mora reciente | mora historica | dias de mora observables | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,transporte,46,295
CLI0053,Clientes recurrentes de comportamiento general,0,85.57,1,1 estrella,mora reciente | mora historica | promesas rotas | bajo cumplimiento de promesas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,27,169
CLI0158,Clientes de alto riesgo operativo,2,85.81,1,1 estrella,mora reciente | mora historica | moras consecutivas | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,manufactura,18,109
CLI0141,Clientes recurrentes de comportamiento general,0,85.83,1,1 estrella,bajo cumplimiento historico | dias de mora observables | mora historica | mora reciente,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,23,148
CLI0047,Clientes de alto riesgo operativo,2,86.46,1,1 estrella,mora historica | mora reciente | bajo cumplimiento historico | moras consecutivas,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,servicios,9,47
CLI0002,Clientes recurrentes de comportamiento general,0,87.78,1,1 estrella,mora reciente | mora historica | dias de mora observables | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,32,224
CLI0155,Clientes recurrentes de comportamiento general,0,87.8,1,1 estrella,mora reciente | mora historica | dias de mora observables | friccion de contacto,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,transporte,31,209
CLI0051,Clientes recurrentes de comportamiento general,0,87.97,1,1 estrella,mora historica | dias de mora observables | mora reciente | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,tecnologia,46,297
CLI0054,Clientes recurrentes de comportamiento general,0,88.36,1,1 estrella,bajo cumplimiento historico | dias de mora observables | mora historica | mora reciente,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,24,158
CLI0117,Clientes recurrentes de comportamiento general,0,90.39,1,1 estrella,bajo cumplimiento historico | mora reciente | promesas rotas | bajo cumplimiento de promesas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,15,91
CLI0166,Clientes de alto riesgo operativo,2,90.65,1,1 estrella,bajo cumplimiento historico | moras consecutivas | dias de mora observables | mora reciente,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,construccion,23,127
CLI0135,Clientes recurrentes de comportamiento general,0,91.05,1,1 estrella,mora historica | mora reciente | bajo cumplimiento historico | dias de mora observables,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,retail,29,199
CLI0086,Clientes recurrentes de comportamiento general,0,60.52,2,2 estrellas,bajo cumplimiento historico | mora historica | mora reciente | bajo cumplimiento de promesas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,servicios,43,173
CLI0097,Clientes recurrentes de comportamiento general,0,61.91,2,2 estrellas,moras consecutivas | promesas rotas | bajo cumplimiento de promesas | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,agro,9,34
CLI0001,Clientes recurrentes de comportamiento general,0,61.99,2,2 estrellas,promesas rotas | bajo cumplimiento de promesas | dias de mora observables | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,agro,33,136
CLI0035,Clientes de alto riesgo operativo,2,62.78,2,2 estrellas,moras consecutivas | friccion de contacto | baja contactabilidad | no contestacion,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,retail,4,20
CLI0039,Clientes de alto riesgo operativo,2,63.22,2,2 estrellas,moras consecutivas | mora reciente | mora historica | promesas rotas,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,manufactura,6,29
CLI0121,Clientes de alto riesgo operativo,2,63.25,2,2 estrellas,dias de mora observables | moras consecutivas | mora historica | mora reciente,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,agro,9,48
CLI0025,Clientes recurrentes de comportamiento general,0,63.28,2,2 estrellas,dias de mora observables | moras consecutivas | promesas rotas | bajo cumplimiento de promesas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,9,34
CLI0181,Clientes recurrentes de comportamiento general,0,63.56,2,2 estrellas,dias de mora observables | mora historica | mora reciente | moras consecutivas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,servicios,13,68
CLI0004,Clientes de alto riesgo operativo,2,66.12,2,2 estrellas,moras consecutivas | mora reciente | bajo cumplimiento historico | mora historica,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,construccion,10,46
CLI0056,Clientes atipicos de bajo volumen,1,66.55,2,2 estrellas,moras consecutivas | dias de mora observables | friccion de contacto | mora reciente,Cercania al centroide del grupo; variables distintivas: condicion dias max. | dias hasta vence max. | cliente nuevo prom. | dias desde ultima gestion max.,retail,5,30
CLI0029,Clientes de alto riesgo operativo,2,66.58,2,2 estrellas,moras consecutivas | mora historica | mora reciente | dias de mora observables,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,salud,17,73
CLI0122,Clientes recurrentes de comportamiento general,0,67.11,2,2 estrellas,mora reciente | dias de mora observables | moras consecutivas | mora historica,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,agro,18,91
CLI0046,Clientes recurrentes de comportamiento general,0,67.45,2,2 estrellas,dias de mora observables | mora reciente | mora historica | moras consecutivas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,20,95
CLI0116,Clientes recurrentes de comportamiento general,0,67.67,2,2 estrellas,promesas rotas | bajo cumplimiento de promesas | mora historica | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,34,173
CLI0081,Clientes recurrentes de comportamiento general,0,68.45,2,2 estrellas,mora reciente | bajo cumplimiento historico | mora historica | moras consecutivas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,23,120
CLI0087,Clientes recurrentes de comportamiento general,0,69.25,2,2 estrellas,dias de mora observables | mora historica | friccion de contacto | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,30,166
CLI0093,Clientes recurrentes de comportamiento general,0,69.39,2,2 estrellas,bajo cumplimiento historico | promesas rotas | friccion de contacto | baja contactabilidad,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,agro,11,54
CLI0171,Clientes recurrentes de comportamiento general,0,69.86,2,2 estrellas,bajo cumplimiento historico | mora historica | mora reciente | dias de mora observables,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,retail,47,238
